section_id,cited_section_id,act,citation_path,phrase,bound_kind,bound_date,bound_year,bound_precision,phrase_match,batch_id,prompt_sha256,context_used
13935,13806,ITA,110.6(1.3)(c),"after June 17, 1987",start,1987-06-17,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13935,13806,ITA,110.6(1.3)(c),"before June 18, 1987",end,1987-06-18,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13984,13806,ITA,110.6(11)(a),"allocated or distributed to the individual after November 21, 1985",start,1985-11-21,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13985,13806,ITA,110.6(11)(b),"allocated or distributed to it after November 21, 1985",start,1985-11-21,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13997,13806,ITA,110.6(14)(f),"shares issued after June 13, 1988",start,1988-06-13,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14019,13806,ITA,110.6(17),a taxation year that ended before 1990,end,,1990,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14022,13806,ITA,110.6(19)(a),"owned at the end of February 22, 1994 by the elector",at,1994-02-22,,day,exact,msgbatch_01VXS4B4na17QrTVMPFLjs8f,cac8c075da7afb4bade5f8a660c0932dc8998789912e81a958adf8778317496d,parent+children
14037,13806,ITA,110.6(19)(b),"a business carried on by the elector (otherwise than as a member of a partnership) on February 22, 1994",at,1994-02-22,,day,exact,msgbatch_01VXS4B4na17QrTVMPFLjs8f,cac8c075da7afb4bade5f8a660c0932dc8998789912e81a958adf8778317496d,parent+children
14043,13806,ITA,110.6(19)(c),"an interest owned at the end of February 22, 1994 by the elector",at,1994-02-22,,day,exact,msgbatch_01VXS4B4na17QrTVMPFLjs8f,cac8c075da7afb4bade5f8a660c0932dc8998789912e81a958adf8778317496d,parent+children
14043,13806,ITA,110.6(19)(c),"from the disposition on February 22, 1994 of property",at,1994-02-22,,day,exact,msgbatch_01VXS4B4na17QrTVMPFLjs8f,cac8c075da7afb4bade5f8a660c0932dc8998789912e81a958adf8778317496d,parent+children
14045,13806,ITA,110.6(19)(c)(ii),"disposed of at the end of February 22, 1994",at,1994-02-22,,day,exact,msgbatch_01VXS4B4na17QrTVMPFLjs8f,cac8c075da7afb4bade5f8a660c0932dc8998789912e81a958adf8778317496d,parent
13948,13806,ITA,110.6(2),who disposed of before 2014 property that was qualified farm property or qualified fishing property at the time of disposition,end,,2014,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13950,13806,ITA,110.6(2)(a)~f1,"after October 17, 2000",start,2000-10-17,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13950,13806,ITA,110.6(2)(a)~f1,before 1988,end,,1988,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13950,13806,ITA,110.6(2)(a)~f1,began after 1987 and ended before 1990,start,,1987,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13950,13806,ITA,110.6(2)(a)~f1,began after 1987 and ended before 1990,end,,1990,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13950,13806,ITA,110.6(2)(a)~f1,"began after February 27, 2000 and ended before October 18, 2000",start,2000-02-27,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13950,13806,ITA,110.6(2)(a)~f1,"began after February 27, 2000 and ended before October 18, 2000",end,2000-10-18,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13950,13806,ITA,110.6(2)(a)~f1,"does not end after February 27, 2000 and before October 18, 2000",step_down,2000-02-27,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13950,13806,ITA,110.6(2)(a)~f1,ended after 1987 and before 1990,start,,1987,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13950,13806,ITA,110.6(2)(a)~f1,ended after 1987 and before 1990,end,,1990,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13950,13806,ITA,110.6(2)(a)~f1,"ended after 1989 and before February 28, 2000",start,,1989,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13950,13806,ITA,110.6(2)(a)~f1,"ended after 1989 and before February 28, 2000",end,2000-02-28,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13950,13806,ITA,110.6(2)(a)~f1,"ends after February 27, 2000 and before October 18, 2000",step_down,2000-02-27,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13950,13806,ITA,110.6(2)(a)~f1,"ends after February 27, 2000 and before October 18, 2000",step_down,2000-10-18,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13950,13806,ITA,110.6(2)(a)~f1,"taxation years that ended before February 28, 2000",end,2000-02-28,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13954,13806,ITA,110.6(2.1),"after June 17, 1987",start,1987-06-17,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
13959,13806,ITA,110.6(2.2),"on or after June 25, 2024",start,2024-06-25,,day,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
13959,13806,ITA,110.6(2.2),"taxation year that includes June 25, 2024",at,2024-06-25,,day,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
13963,13806,ITA,110.6(2.2)(d),"disposed of by the individual on or after June 25, 2024",start,2024-06-25,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14053,13806,ITA,110.6(20)(a)(ii),"its fair market value at the end of February 22, 1994",at,1994-02-22,,day,exact,msgbatch_01VXS4B4na17QrTVMPFLjs8f,cac8c075da7afb4bade5f8a660c0932dc8998789912e81a958adf8778317496d,parent
14054,13806,ITA,110.6(20)(a)(iii),"the fair market value at the end of February 22, 1994",at,1994-02-22,,day,exact,msgbatch_01VXS4B4na17QrTVMPFLjs8f,cac8c075da7afb4bade5f8a660c0932dc8998789912e81a958adf8778317496d,parent
14056,13806,ITA,110.6(20)(b)(i),"who was a beneficiary under the trust at the end of February 22, 1994",at,1994-02-22,,day,exact,msgbatch_01VXS4B4na17QrTVMPFLjs8f,cac8c075da7afb4bade5f8a660c0932dc8998789912e81a958adf8778317496d,parent
14061,13806,ITA,110.6(21)(b),"where the property was at the end of February 22, 1994 an interest in or a share of the capital stock of a flow-through entity",at,1994-02-22,,day,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
14066,13806,ITA,110.6(22)(b),"at the end of February 22, 1994",end,1994-02-22,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14069,13806,ITA,110.6(23)(a)~f1,"ends February 22, 1994",end,1994-02-22,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14069,13806,ITA,110.6(23)(a)~f1,"occurred before February 23, 1994",end,1994-02-23,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14075,13806,ITA,110.6(24)(a)(ii),on or before the individual’s balance-due day for the 1994 taxation year,end,,1994,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14076,13806,ITA,110.6(24)(b),"the taxation year of the trust that includes February 22, 1994",start,1994-02-22,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14077,13806,ITA,110.6(25),by filing a written notice of the revocation with the Minister before 1998,end,,1998,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14080,13806,ITA,110.6(27)(a),filed with the Minister before 1998,end,,1998,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14084,13806,ITA,110.6(28)(b),"at the end of February 22, 1994",end,1994-02-22,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14085,13806,ITA,110.6(28)(c),"the fair market value at the end of February 22, 1994",end,1994-02-22,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14091,13806,ITA,110.6(32),for the 2025 taxation year,start,,2025,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14092,13806,ITA,110.6(32)(a),"a fiscal period that begins before June 25, 2024 and ends after 2024",end,2024-06-25,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14092,13806,ITA,110.6(32)(a),"a fiscal period that begins before June 25, 2024 and ends after 2024",start,,2024,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14092,13806,ITA,110.6(32)(a),"a taxation year that begins before June 25, 2024 and ends after 2024",end,2024-06-25,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14092,13806,ITA,110.6(32)(a),"a taxation year that begins before June 25, 2024 and ends after 2024",start,,2024,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14092,13806,ITA,110.6(32)(a),"before June 25, 2024",end,2024-06-25,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14096,14095,ITA,110.61(1),occurred after 2023,start,,2023,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14159,14158,ITA,110.62(1),that occurred after 2023,start,,2023,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14655,14625,ITA,113(2),a taxation year ending after 1975,start,,1975,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14662,14625,ITA,113(2)(b)(iii),after the end of its 1975 taxation year,start,,1975,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14662,14625,ITA,113(2)(b)(iii),for taxation years ending after 1975,start,,1975,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14663,14625,ITA,113(2)(b)(iii.1),after the end of its 1975 taxation year,start,,1975,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14664,14625,ITA,113(2)(b)(iii.1)(A),"before August 20, 2011",end,2011-08-20,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14665,14625,ITA,113(2)(b)(iii.1)(B),"after August 19, 2011",start,2011-08-19,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14677,14625,ITA,113(4),before the affiliate’s 1976 taxation year,end,,1976,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
14677,14625,ITA,113(4),that was received after the 1971 taxation year of the affiliate,start,,1971,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
15108,15100,ITA,118.02(2),a taxation year that is before 2025,end,,2025,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
15209,15207,ITA,"118.05(1)""qualifying home""","acquired, whether jointly or otherwise, after January 27, 2009",start,2009-01-27,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
15490,15250,ITA,118.1(29),and before 2025,end,,2025,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
15490,15250,ITA,118.1(29),before March 2025,end,2025-03,,month,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
15490,15250,ITA,118.1(29),"that ended after November 14, 2024",start,2024-11-14,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
15496,15250,ITA,118.1(29)(d)(ii),if the individual died after 2024,start,,2024,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
15336,15250,ITA,118.1(4),dies before 2016,end,,2016,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
15337,15250,ITA,118.1(4.1),the death after 2015 of an individual,start,,2015,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
15344,15250,ITA,118.1(5.1),the death occurs after 2015,start,,2015,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
15347,15250,ITA,118.1(5.2),the death occurs after 2015,start,,2015,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
15367,15250,ITA,118.1(6)(a),"in the case of a gift made after December 20, 2002",start,2002-12-20,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
16317,16282,ITA,122.5(3.001)~f1,April 2020,at,2020-04,,month,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16317,16282,ITA,122.5(3.001)~f1,January 2020,at,2020-01,,month,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16317,16282,ITA,122.5(3.001)~f1,July 2019,at,2019-07,,month,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16317,16282,ITA,122.5(3.001)~f1,October 2019,at,2019-10,,month,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16347,16282,ITA,122.5(4.5),April 2031,end,2031-04,,month,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
16347,16282,ITA,122.5(4.5),July 2026,start,2026-07,,month,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
16648,16641,ITA,122.91(2)(a),if the taxation year is after 2019,start,,2019,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
16737,16726,ITA,122.93(2),for a taxation year that begins after 2025,start,,2025,year,exact,msgbatch_016eDcdn9uNXaHf3uegqfihG,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16737,16726,ITA,122.93(2),that ends before 2031,end,,2031,year,exact,msgbatch_016eDcdn9uNXaHf3uegqfihG,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16780,16764,ITA,"123.4(1)""general rate reduction percentage""(a)",the number of days in the taxation year that are before 2008,end,,2008,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16781,16764,ITA,"123.4(1)""general rate reduction percentage""(b)",the number of days in the taxation year that are in 2008,step_down,,2008,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16782,16764,ITA,"123.4(1)""general rate reduction percentage""(c)",that proportion of 9% that the number of days in the taxation year that are in 2009,step_down,,2009,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16783,16764,ITA,"123.4(1)""general rate reduction percentage""(d)",that proportion of 10% that the number of days in the taxation year that are in 2010 is of the number of days in the taxation year,step_down,,2010,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16784,16764,ITA,"123.4(1)""general rate reduction percentage""(e)",that proportion of 11.5% that the number of days in the taxation year that are in 2011,step_down,,2011,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16785,16764,ITA,"123.4(1)""general rate reduction percentage""(f)",the number of days in the taxation year that are after 2011,step_down,,2011,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16829,16811,ITA,125(1.1)(a),that proportion of 17.5% that the number of days in the taxation year that are before 2018 is of the number of days in the taxation year,step_down,,2018,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16830,16811,ITA,125(1.1)(b),the number of days in the taxation year that are in 2018,step_down,,2018,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16831,16811,ITA,125(1.1)(c),the number of days in the taxation year that are after 2018,step_down,,2018,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16995,16985,ITA,125.2(2)~f1,"0.01125, if the taxation year begins after 2033 and before 2035",step_down,,2033,year,exact,msgbatch_01PAmDKwYrxqTy6FGwKztARN,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16995,16985,ITA,125.2(2)~f1,"0.01125, if the taxation year begins after 2033 and before 2035",step_down,,2035,year,exact,msgbatch_01PAmDKwYrxqTy6FGwKztARN,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16995,16985,ITA,125.2(2)~f1,"0.01875, if the taxation year begins after 2033 and before 2035",step_down,,2033,year,exact,msgbatch_01PAmDKwYrxqTy6FGwKztARN,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16995,16985,ITA,125.2(2)~f1,"0.01875, if the taxation year begins after 2033 and before 2035",step_down,,2035,year,exact,msgbatch_01PAmDKwYrxqTy6FGwKztARN,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16995,16985,ITA,125.2(2)~f1,"0.0225, if the taxation year begins after 2032 and before 2034",step_down,,2032,year,exact,msgbatch_01PAmDKwYrxqTy6FGwKztARN,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16995,16985,ITA,125.2(2)~f1,"0.0225, if the taxation year begins after 2032 and before 2034",step_down,,2034,year,exact,msgbatch_01PAmDKwYrxqTy6FGwKztARN,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16995,16985,ITA,125.2(2)~f1,"0.03375, if the taxation year begins after 2031 and before 2033",step_down,,2031,year,exact,msgbatch_01PAmDKwYrxqTy6FGwKztARN,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16995,16985,ITA,125.2(2)~f1,"0.03375, if the taxation year begins after 2031 and before 2033",step_down,,2033,year,exact,msgbatch_01PAmDKwYrxqTy6FGwKztARN,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16995,16985,ITA,125.2(2)~f1,"0.0375, if the taxation year begins after 2032 and before 2034",step_down,,2032,year,exact,msgbatch_01PAmDKwYrxqTy6FGwKztARN,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16995,16985,ITA,125.2(2)~f1,"0.0375, if the taxation year begins after 2032 and before 2034",step_down,,2034,year,exact,msgbatch_01PAmDKwYrxqTy6FGwKztARN,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16995,16985,ITA,125.2(2)~f1,"0.045, if the taxation year begins after 2021 and before 2032",step_down,,2021,year,exact,msgbatch_01PAmDKwYrxqTy6FGwKztARN,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
16995,16985,ITA,125.2(2)~f1,"0.045, if the taxation year begins after 2021 and before 2032",step_down,,2032,year,exact,msgbatch_01PAmDKwYrxqTy6FGwKztARN,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
